,Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,City,State,Country,Postal Code,Market_x,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Returned,Market_y
0,IN-2013-77878,2/5/2013,2/7/2013,Second Class,Justin Ritter,Corporate,Wollongong,New South Wales,Australia,,APAC,Oceania,FUR-CH-10003950,Furniture,Chairs,"Novimex Executive Leather Armchair, Black",3709.395,9,0.1,-288.765,923.63,Critical,Yes,APAC
1,IN-2013-77878,2/5/2013,2/7/2013,Second Class,Justin Ritter,Corporate,Wollongong,New South Wales,Australia,,APAC,Oceania,TEC-CO-10000660,Technology,Copiers,"Brother Fax and Copier, Laser",344.682,2,0.1,34.422,65.35,Critical,Yes,APAC
2,IN-2013-77878,2/5/2013,2/7/2013,Second Class,Justin Ritter,Corporate,Wollongong,New South Wales,Australia,,APAC,Oceania,OFF-ST-10001366,Office Supplies,Storage,"Rogers Folders, Wire Frame",133.92,5,0.1,-6.03,41.64,Critical,Yes,APAC
3,IN-2013-77878,2/5/2013,2/7/2013,Second Class,Justin Ritter,Corporate,Wollongong,New South Wales,Australia,,APAC,Oceania,TEC-AC-10004012,Technology,Accessories,"Enermax Flash Drive, Erganomic",70.794,2,0.1,25.134,10.48,Critical,Yes,APAC
4,ES-2014-1651774,9/8/2014,9/14/2014,Standard Class,Patrick Jones,Corporate,Prato,Tuscany,Italy,,EU,South,OFF-AP-10004512,Office Supplies,Appliances,"Hoover Stove, Red",7958.58,14,0.0,3979.08,778.32,Low,Yes,EU
5,ES-2014-1651774,7/3/2014,7/8/2014,Standard Class,Gary Hwang,Consumer,Velletri,Lazio,Italy,,EU,South,TEC-AC-10003265,Technology,Accessories,"Belkin Router, Bluetooth",1293.75,5,0.0,51.75,102.87,Medium,Yes,EU
6,ES-2014-1651774,7/3/2014,7/8/2014,Standard Class,Gary Hwang,Consumer,Velletri,Lazio,Italy,,EU,South,OFF-SU-10003804,Office Supplies,Supplies,"Kleencut Shears, Easy Grip",435.51,9,0.0,0.0,32.66,Medium,Yes,EU
7,ES-2014-1651774,7/3/2014,7/8/2014,Standard Class,Gary Hwang,Consumer,Velletri,Lazio,Italy,,EU,South,OFF-PA-10000908,Office Supplies,Paper,"Xerox Note Cards, Premium",79.11,3,0.0,15.75,5.46,Medium,Yes,EU
8,IN-2012-44810,2/25/2012,2/25/2012,Same Day,Benjamin Patterson,Consumer,Surat,Gujarat,India,,APAC,Central Asia,FUR-CH-10001415,Furniture,Chairs,"Office Star Executive Leather Armchair, Red",1878.72,4,0.0,582.36,704.08,Critical,Yes,APAC
9,IN-2012-44810,2/25/2012,2/25/2012,Same Day,Benjamin Patterson,Consumer,Surat,Gujarat,India,,APAC,Central Asia,OFF-EN-10000657,Office Supplies,Envelopes,"Jiffy Peel and Seal, with clear poly window",117.75,5,0.0,38.85,29.42,Critical,Yes,APAC
10,IN-2012-44810,2/25/2012,2/25/2012,Same Day,Benjamin Patterson,Consumer,Surat,Gujarat,India,,APAC,Central Asia,OFF-EN-10004144,Office Supplies,Envelopes,"Cameo Clasp Envelope, Security-Tint",23.82,2,0.0,8.52,5.93,Critical,Yes,APAC
11,CA-2012-139731,10/15/2012,10/15/2012,Same Day,Joel Eaton,Consumer,Amarillo,Texas,United States,79109.0,US,Central,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,2453.43,5,0.3,-350.49,690.42,High,Yes,United States
12,CA-2012-139731,10/15/2012,10/15/2012,Same Day,Joel Eaton,Consumer,Amarillo,Texas,United States,79109.0,US,Central,TEC-AC-10004975,Technology,Accessories,Plantronics Audio 995 Wireless Stereo Headset,263.88,3,0.2,42.8805,7.79,High,Yes,United States
13,CA-2011-160766,9/14/2011,9/14/2011,Same Day,Darrin Martin,Consumer,New York City,New York,United States,10009.0,US,East,TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,2799.96,4,0.0,1371.9804,675.15,High,Yes,United States
14,CA-2011-160766,9/14/2011,9/14/2011,Same Day,Darrin Martin,Consumer,New York City,New York,United States,10009.0,US,East,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,601.3,2,0.0,198.429,122.09,High,Yes,United States
15,CA-2011-160766,9/14/2011,9/14/2011,Same Day,Darrin Martin,Consumer,New York City,New York,United States,10009.0,US,East,FUR-TA-10001039,Furniture,Tables,KI Adjustable-Height Table,464.292,9,0.4,-108.3348,115.24,High,Yes,United States
16,CA-2011-160766,9/14/2011,9/14/2011,Same Day,Darrin Martin,Consumer,New York City,New York,United States,10009.0,US,East,TEC-PH-10000526,Technology,Phones,Vtech CS6719,287.97,3,0.0,80.6316,55.83,High,Yes,United States
17,CA-2011-160766,9/14/2011,9/14/2011,Same Day,Darrin Martin,Consumer,New York City,New York,United States,10009.0,US,East,OFF-EN-10001099,Office Supplies,Envelopes,Staples,68.46,7,0.0,31.4916,7.81,High,Yes,United States
18,CA-2011-160766,9/14/2011,9/14/2011,Same Day,Darrin Martin,Consumer,New York City,New York,United States,10009.0,US,East,OFF-PA-10000213,Office Supplies,Paper,Xerox 198,44.82,9,0.0,21.0654,6.52,High,Yes,United States
19,CA-2011-160766,9/14/2011,9/14/2011,Same Day,Darrin Martin,Consumer,New York City,New York,United States,10009.0,US,East,TEC-PH-10001536,Technology,Phones,Spigen Samsung Galaxy S5 Case Wallet,16.99,1,0.0,4.4174,1.79,High,Yes,United States
